Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,"Iran, Islamic Rep.",IRN,..,..,..,697.06229,679.38896,..,825.2793,..,1474.91351,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Iraq,IRQ,..,..,441.29756,..,..,69.56885,65.81003,64.76253,105.92266,111.13687,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Ireland,IRL,..,2251.06216,3325.77887,4853.9581,5136.47506,5304.47968,5270.65971,5178.20302,5401.03558,5243.12624,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Italy,ITA,..,1166.12207,1781.38859,1848.62689,1930.68673,1956.36059,2077.88262,2204.07609,2313.65481,2306.76644,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Japan,JPN,..,5078.03328,5110.16567,5032.93122,5147.43517,5328.40955,5173.03053,5209.36906,5304.13762,5331.15027,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Jordan,JOR,..,..,..,..,..,..,252.41257,592.40429,595.96296,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Kazakhstan,KAZ,..,..,385.91519,612.18307,737.22035,798.6654,777.14475,693.6834,666.14974,666.9353,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,"Korea, Rep.",KOR,..,2287.28865,5802.83693,6304.13833,6392.6361,6826.27375,7013.4907,7086.44637,7497.59608,7980.39565,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Kuwait,KWT,..,158.42568,129.73239,131.08966,..,620.16705,395.76691,478.15511,501.56567,513.86021,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Kyrgyz Republic,KGZ,..,..,..,..,..,..,..,..,..,..,..,..
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..
