Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Guinea,GIN,..,2.59340000152588,2.28742003440857,1.83370995521545,2.63421010971069,2.42281007766724,2.51713991165161,2.54455995559692,2.31765007972717,2.31593990325928,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Guinea-Bissau,GNB,..,..,1.8578599691391,2.00106000900269,2.13248991966248,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Guyana,GUY,..,8.48414993286133,3.59204006195068,3.18242001533508,..,5.84795999526978,5.21482992172241,6.06099987030029,6.23007011413574,5.49357986450195,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Haiti,HTI,..,..,..,..,..,3.02451992034912,3.15722990036011,2.44958996772766,2.68945002555847,2.78046989440918,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Honduras,HND,..,..,..,..,5.87492990493774,7.0901198387146,6.41297006607056,..,..,6.06746006011963,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Hong Kong SAR, China",HKG,2.46608996391296,..,3.41822004318237,3.50960993766785,3.76031994819641,3.57255005836487,3.26212000846863,3.29264998435974,3.31010007858276,3.32651996612549,3.8105800151825,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Hungary,HUN,..,4.86840009689331,4.59010982513428,4.16385984420776,4.19773006439209,4.61743021011353,4.51866006851196,4.6553897857666,4.66709995269775,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Iceland,ISL,4.25224018096924,6.4471697807312,6.81823015213013,7.596360206604,7.49121999740601,7.68858003616333,7.51290988922119,7.49521017074585,7.65821981430054,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,India,IND,..,4.32479000091553,3.79618000984192,3.8675000667572,3.84467005729675,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Indonesia,IDN,..,..,3.18944001197815,3.40748000144959,3.35904002189636,3.28800988197327,3.58360004425049,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Iran, Islamic Rep.",IRN,3.77391004562378,4.03064012527466,3.48497009277344,3.16859006881714,3.06795001029968,2.80135011672974,2.79738998413086,3.36576008796692,3.79040002822876,3.9553599357605,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Ireland,IRL,4.59505987167358,4.1366400718689,5.85826015472412,5.7657299041748,5.33460998535156,4.88139009475708,3.75829005241394,3.71972990036011,3.50686001777649,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Israel,ISR,5.42283010482788,6.11802005767822,5.56688022613525,5.69981002807617,5.88489007949829,5.79265022277832,5.86730003356934,5.85713005065918,6.09261989593506,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Italy,ITA,..,4.29107999801636,4.11568021774292,4.05601978302002,4.14367008209229,4.06127977371216,4.07362985610962,3.81578993797302,4.04493999481201,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Jamaica,JAM,4.7791600227356,4.98346996307373,6.26664018630981,6.11246013641357,6.25108003616333,6.01654005050659,5.45577001571655,5.31508016586304,5.2606201171875,5.4147801399231,5.16918992996216,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Japan,JPN,..,3.51617002487183,3.64258003234863,3.69226002693176,3.66538000106812,3.59059000015259,..,3.18618011474609,3.18217992782593,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Jordan,JOR,..,..,..,..,..,..,..,3.51412010192871,3.28404998779297,3.03434991836548,3.07253003120422,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kazakhstan,KAZ,..,3.25661993026733,..,..,..,..,2.7885799407959,2.97810006141663,2.75081992149353,2.61595010757446,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kenya,KEN,..,5.1867299079895,5.33528995513916,5.50903987884521,5.41137981414795,5.28021001815796,5.27133989334106,5.36266994476318,5.36668014526367,5.30625009536743,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kiribati,KIR,..,11.1858701705933,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,"Korea, Rep.",KOR,3.03873991966248,..,..,..,..,..,..,4.33309984207153,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..
